prevalence,dependence,ranking,aida_auc,baseline_auc,datasets,budget,pool,images,delta_name,delta,successes,iterations,power,monte_carlo_se,power_wilson95_low,power_wilson95_high,exceeds_expected_errors,pool_unique_errors_per_dataset,mean_aida_unique_errors,mean_baseline_unique_errors,blocks_per_dataset,blocks_total,per_dataset_evidence,evidence,required_active_minutes,status,official_scenario,exploratory,cell_seed
0.135,independent,large_gap,0.85,0.7,3,360,720,454,C,36.0,0,60,0.0,0.0,0.0,0.0602,False,97.2,86.67,67.88,3,9,extrapolated,extrapolated,90.4,too_few_iterations,False,True,20260913|D3_N360_p0.135_independent_large_gap
0.135,independent,large_gap,0.85,0.7,3,480,960,605,A,1.0,60,60,1.0,0.0,0.9398,1.0,False,129.6,115.58,89.69,4,12,extrapolated,strongly_extrapolated,120.5,too_few_iterations,False,True,20260913|D3_N480_p0.135_independent_large_gap
0.135,independent,large_gap,0.85,0.7,3,480,960,605,B,24.0,5,60,0.08333333333333333,0.03568120160740314,0.0361,0.1807,False,129.6,115.58,89.69,4,12,extrapolated,strongly_extrapolated,120.5,too_few_iterations,False,True,20260913|D3_N480_p0.135_independent_large_gap
0.135,independent,large_gap,0.85,0.7,3,480,960,605,C,48.0,0,60,0.0,0.0,0.0,0.0602,False,129.6,115.58,89.69,4,12,extrapolated,strongly_extrapolated,120.5,too_few_iterations,False,True,20260913|D3_N480_p0.135_independent_large_gap
0.135,independent,large_gap,0.85,0.7,3,600,1200,757,A,1.0,60,60,1.0,0.0,0.9398,1.0,False,162.1,144.28,112.95,5,15,extrapolated,strongly_extrapolated,150.6,too_few_iterations,False,True,20260913|D3_N600_p0.135_independent_large_gap
0.135,independent,large_gap,0.85,0.7,3,600,1200,757,B,30.0,2,60,0.03333333333333333,0.023174059571793568,0.0092,0.1136,False,162.1,144.28,112.95,5,15,extrapolated,strongly_extrapolated,150.6,too_few_iterations,False,True,20260913|D3_N600_p0.135_independent_large_gap
0.135,independent,large_gap,0.85,0.7,3,600,1200,757,C,60.0,0,60,0.0,0.0,0.0,0.0602,False,162.1,144.28,112.95,5,15,extrapolated,strongly_extrapolated,150.6,too_few_iterations,False,True,20260913|D3_N600_p0.135_independent_large_gap
0.135,independent,large_gap,0.85,0.7,4,120,240,151,A,1.0,58,60,0.9666666666666667,0.023174059571793564,0.8864,0.9908,False,32.2,28.79,22.26,1,4,observed,extrapolated,40.2,too_few_iterations,False,True,20260913|D4_N120_p0.135_independent_large_gap
0.135,independent,large_gap,0.85,0.7,4,120,240,151,B,6.0,0,60,0.0,0.0,0.0,0.0602,False,32.2,28.79,22.26,1,4,observed,extrapolated,40.2,too_few_iterations,False,True,20260913|D4_N120_p0.135_independent_large_gap
0.135,independent,large_gap,0.85,0.7,4,120,240,151,C,12.0,0,60,0.0,0.0,0.0,0.0602,False,32.2,28.79,22.26,1,4,observed,extrapolated,40.2,too_few_iterations,False,True,20260913|D4_N120_p0.135_independent_large_gap
0.135,independent,large_gap,0.85,0.7,4,240,480,303,A,1.0,60,60,1.0,0.0,0.9398,1.0,False,65.2,57.62,45.38,2,8,extrapolated,extrapolated,80.3,too_few_iterations,False,True,20260913|D4_N240_p0.135_independent_large_gap
0.135,independent,large_gap,0.85,0.7,4,240,480,303,B,12.0,3,60,0.05,0.028136571693556888,0.0171,0.137,False,65.2,57.62,45.38,2,8,extrapolated,extrapolated,80.3,too_few_iterations,False,True,20260913|D4_N240_p0.135_independent_large_gap
0.135,independent,large_gap,0.85,0.7,4,240,480,303,C,24.0,0,60,0.0,0.0,0.0,0.0602,False,65.2,57.62,45.38,2,8,extrapolated,extrapolated,80.3,too_few_iterations,False,True,20260913|D4_N240_p0.135_independent_large_gap
0.135,independent,large_gap,0.85,0.7,4,360,720,454,A,1.0,60,60,1.0,0.0,0.9398,1.0,False,96.5,86.27,66.88,3,12,extrapolated,strongly_extrapolated,120.5,too_few_iterations,False,True,20260913|D4_N360_p0.135_independent_large_gap
0.135,independent,large_gap,0.85,0.7,4,360,720,454,B,18.0,3,60,0.05,0.028136571693556888,0.0171,0.137,False,96.5,86.27,66.88,3,12,extrapolated,strongly_extrapolated,120.5,too_few_iterations,False,True,20260913|D4_N360_p0.135_independent_large_gap
0.135,independent,large_gap,0.85,0.7,4,360,720,454,C,36.0,0,60,0.0,0.0,0.0,0.0602,False,96.5,86.27,66.88,3,12,extrapolated,strongly_extrapolated,120.5,too_few_iterations,False,True,20260913|D4_N360_p0.135_independent_large_gap
0.135,independent,large_gap,0.85,0.7,4,480,960,605,A,1.0,60,60,1.0,0.0,0.9398,1.0,False,129.5,115.28,90.08,4,16,extrapolated,strongly_extrapolated,160.6,too_few_iterations,False,True,20260913|D4_N480_p0.135_independent_large_gap
0.135,independent,large_gap,0.85,0.7,4,480,960,605,B,24.0,3,60,0.05,0.028136571693556888,0.0171,0.137,False,129.5,115.28,90.08,4,16,extrapolated,strongly_extrapolated,160.6,too_few_iterations,False,True,20260913|D4_N480_p0.135_independent_large_gap
0.135,independent,large_gap,0.85,0.7,4,480,960,605,C,48.0,0,60,0.0,0.0,0.0,0.0602,False,129.5,115.28,90.08,4,16,extrapolated,strongly_extrapolated,160.6,too_few_iterations,False,True,20260913|D4_N480_p0.135_independent_large_gap
0.135,independent,large_gap,0.85,0.7,4,600,1200,757,A,1.0,60,60,1.0,0.0,0.9398,1.0,False,163.6,145.75,113.84,5,20,extrapolated,strongly_extrapolated,200.8,too_few_iterations,False,True,20260913|D4_N600_p0.135_independent_large_gap
0.135,independent,large_gap,0.85,0.7,4,600,1200,757,B,30.0,2,60,0.03333333333333333,0.023174059571793568,0.0092,0.1136,False,163.6,145.75,113.84,5,20,extrapolated,strongly_extrapolated,200.8,too_few_iterations,False,True,20260913|D4_N600_p0.135_independent_large_gap
0.135,independent,large_gap,0.85,0.7,4,600,1200,757,C,60.0,0,60,0.0,0.0,0.0,0.0602,False,163.6,145.75,113.84,5,20,extrapolated,strongly_extrapolated,200.8,too_few_iterations,False,True,20260913|D4_N600_p0.135_independent_large_gap
0.135,clustered,small_gap,0.75,0.7,1,120,240,151,A,1.0,0,60,0.0,0.0,0.0,0.0602,False,31.3,23.83,22.77,1,1,observed,observed,10.0,too_few_iterations,False,True,20260913|D1_N120_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,1,120,240,151,B,6.0,0,60,0.0,0.0,0.0,0.0602,False,31.3,23.83,22.77,1,1,observed,observed,10.0,too_few_iterations,False,True,20260913|D1_N120_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,1,120,240,151,C,12.0,0,60,0.0,0.0,0.0,0.0602,False,31.3,23.83,22.77,1,1,observed,observed,10.0,too_few_iterations,False,True,20260913|D1_N120_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,1,240,480,303,A,1.0,1,60,0.016666666666666666,0.01652719420071502,0.0029,0.0886,False,62.2,47.38,43.87,2,2,extrapolated,extrapolated,20.1,too_few_iterations,False,True,20260913|D1_N240_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,1,240,480,303,B,12.0,0,60,0.0,0.0,0.0,0.0602,False,62.2,47.38,43.87,2,2,extrapolated,extrapolated,20.1,too_few_iterations,False,True,20260913|D1_N240_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,1,240,480,303,C,24.0,0,60,0.0,0.0,0.0,0.0602,False,62.2,47.38,43.87,2,2,extrapolated,extrapolated,20.1,too_few_iterations,False,True,20260913|D1_N240_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,1,360,720,454,A,1.0,7,60,0.11666666666666667,0.04144384867012947,0.0577,0.2218,False,93.0,71.47,65.42,3,3,extrapolated,extrapolated,30.1,too_few_iterations,False,True,20260913|D1_N360_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,1,360,720,454,B,18.0,0,60,0.0,0.0,0.0,0.0602,False,93.0,71.47,65.42,3,3,extrapolated,extrapolated,30.1,too_few_iterations,False,True,20260913|D1_N360_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,1,360,720,454,C,36.0,0,60,0.0,0.0,0.0,0.0602,False,93.0,71.47,65.42,3,3,extrapolated,extrapolated,30.1,too_few_iterations,False,True,20260913|D1_N360_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,1,480,960,605,A,1.0,9,60,0.15,0.046097722286464436,0.081,0.2611,False,122.5,94.13,86.92,4,4,extrapolated,extrapolated,40.2,too_few_iterations,False,True,20260913|D1_N480_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,1,480,960,605,B,24.0,0,60,0.0,0.0,0.0,0.0602,False,122.5,94.13,86.92,4,4,extrapolated,extrapolated,40.2,too_few_iterations,False,True,20260913|D1_N480_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,1,480,960,605,C,48.0,0,60,0.0,0.0,0.0,0.0602,False,122.5,94.13,86.92,4,4,extrapolated,extrapolated,40.2,too_few_iterations,False,True,20260913|D1_N480_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,1,600,1200,757,A,1.0,13,60,0.21666666666666667,0.0531855591650939,0.1312,0.3362,False,154.8,118.57,108.27,5,5,extrapolated,extrapolated,50.2,too_few_iterations,False,True,20260913|D1_N600_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,1,600,1200,757,B,30.0,0,60,0.0,0.0,0.0,0.0602,False,154.8,118.57,108.27,5,5,extrapolated,extrapolated,50.2,too_few_iterations,False,True,20260913|D1_N600_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,1,600,1200,757,C,60.0,0,60,0.0,0.0,0.0,0.0602,False,154.8,118.57,108.27,5,5,extrapolated,extrapolated,50.2,too_few_iterations,False,True,20260913|D1_N600_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,2,120,240,151,A,1.0,1,60,0.016666666666666666,0.01652719420071502,0.0029,0.0886,False,30.6,23.08,21.63,1,2,observed,extrapolated,20.1,too_few_iterations,False,True,20260913|D2_N120_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,2,120,240,151,B,6.0,0,60,0.0,0.0,0.0,0.0602,False,30.6,23.08,21.63,1,2,observed,extrapolated,20.1,too_few_iterations,False,True,20260913|D2_N120_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,2,120,240,151,C,12.0,0,60,0.0,0.0,0.0,0.0602,False,30.6,23.08,21.63,1,2,observed,extrapolated,20.1,too_few_iterations,False,True,20260913|D2_N120_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,2,240,480,303,A,1.0,5,60,0.08333333333333333,0.03568120160740314,0.0361,0.1807,False,60.9,46.42,43.27,2,4,extrapolated,extrapolated,40.2,too_few_iterations,False,True,20260913|D2_N240_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,2,240,480,303,B,12.0,0,60,0.0,0.0,0.0,0.0602,False,60.9,46.42,43.27,2,4,extrapolated,extrapolated,40.2,too_few_iterations,False,True,20260913|D2_N240_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,2,240,480,303,C,24.0,0,60,0.0,0.0,0.0,0.0602,False,60.9,46.42,43.27,2,4,extrapolated,extrapolated,40.2,too_few_iterations,False,True,20260913|D2_N240_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,2,360,720,454,A,1.0,6,60,0.1,0.03872983346207417,0.0466,0.2015,False,92.1,70.33,65.43,3,6,extrapolated,extrapolated,60.2,too_few_iterations,False,True,20260913|D2_N360_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,2,360,720,454,B,18.0,0,60,0.0,0.0,0.0,0.0602,False,92.1,70.33,65.43,3,6,extrapolated,extrapolated,60.2,too_few_iterations,False,True,20260913|D2_N360_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,2,360,720,454,C,36.0,0,60,0.0,0.0,0.0,0.0602,False,92.1,70.33,65.43,3,6,extrapolated,extrapolated,60.2,too_few_iterations,False,True,20260913|D2_N360_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,2,480,960,605,A,1.0,14,60,0.23333333333333334,0.054602943890247176,0.1444,0.3544,False,122.5,93.13,86.38,4,8,extrapolated,extrapolated,80.3,too_few_iterations,False,True,20260913|D2_N480_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,2,480,960,605,B,24.0,0,60,0.0,0.0,0.0,0.0602,False,122.5,93.13,86.38,4,8,extrapolated,extrapolated,80.3,too_few_iterations,False,True,20260913|D2_N480_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,2,480,960,605,C,48.0,0,60,0.0,0.0,0.0,0.0602,False,122.5,93.13,86.38,4,8,extrapolated,extrapolated,80.3,too_few_iterations,False,True,20260913|D2_N480_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,2,600,1200,757,A,1.0,19,60,0.31666666666666665,0.06005398805642704,0.2131,0.4423,False,152.4,116.37,107.82,5,10,extrapolated,strongly_extrapolated,100.4,too_few_iterations,False,True,20260913|D2_N600_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,2,600,1200,757,B,30.0,0,60,0.0,0.0,0.0,0.0602,False,152.4,116.37,107.82,5,10,extrapolated,strongly_extrapolated,100.4,too_few_iterations,False,True,20260913|D2_N600_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,2,600,1200,757,C,60.0,0,60,0.0,0.0,0.0,0.0602,False,152.4,116.37,107.82,5,10,extrapolated,strongly_extrapolated,100.4,too_few_iterations,False,True,20260913|D2_N600_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,3,120,240,151,A,1.0,6,60,0.1,0.03872983346207417,0.0466,0.2015,False,30.1,23.15,21.37,1,3,observed,extrapolated,30.1,too_few_iterations,False,True,20260913|D3_N120_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,3,120,240,151,B,6.0,0,60,0.0,0.0,0.0,0.0602,False,30.1,23.15,21.37,1,3,observed,extrapolated,30.1,too_few_iterations,False,True,20260913|D3_N120_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,3,120,240,151,C,12.0,0,60,0.0,0.0,0.0,0.0602,False,30.1,23.15,21.37,1,3,observed,extrapolated,30.1,too_few_iterations,False,True,20260913|D3_N120_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,3,240,480,303,A,1.0,6,60,0.1,0.03872983346207417,0.0466,0.2015,False,63.0,47.63,44.74,2,6,extrapolated,extrapolated,60.2,too_few_iterations,False,True,20260913|D3_N240_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,3,240,480,303,B,12.0,0,60,0.0,0.0,0.0,0.0602,False,63.0,47.63,44.74,2,6,extrapolated,extrapolated,60.2,too_few_iterations,False,True,20260913|D3_N240_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,3,240,480,303,C,24.0,0,60,0.0,0.0,0.0,0.0602,False,63.0,47.63,44.74,2,6,extrapolated,extrapolated,60.2,too_few_iterations,False,True,20260913|D3_N240_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,3,360,720,454,A,1.0,21,60,0.35,0.06157651067303722,0.2417,0.4764,False,92.8,70.87,64.83,3,9,extrapolated,extrapolated,90.4,too_few_iterations,False,True,20260913|D3_N360_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,3,360,720,454,B,18.0,0,60,0.0,0.0,0.0,0.0602,False,92.8,70.87,64.83,3,9,extrapolated,extrapolated,90.4,too_few_iterations,False,True,20260913|D3_N360_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,3,360,720,454,C,36.0,0,60,0.0,0.0,0.0,0.0602,False,92.8,70.87,64.83,3,9,extrapolated,extrapolated,90.4,too_few_iterations,False,True,20260913|D3_N360_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,3,480,960,605,A,1.0,21,60,0.35,0.06157651067303722,0.2417,0.4764,False,123.1,94.24,87.24,4,12,extrapolated,strongly_extrapolated,120.5,too_few_iterations,False,True,20260913|D3_N480_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,3,480,960,605,B,24.0,0,60,0.0,0.0,0.0,0.0602,False,123.1,94.24,87.24,4,12,extrapolated,strongly_extrapolated,120.5,too_few_iterations,False,True,20260913|D3_N480_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,3,480,960,605,C,48.0,0,60,0.0,0.0,0.0,0.0602,False,123.1,94.24,87.24,4,12,extrapolated,strongly_extrapolated,120.5,too_few_iterations,False,True,20260913|D3_N480_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,3,600,1200,757,A,1.0,27,60,0.45,0.06422616289332565,0.3309,0.5751,False,152.8,116.48,107.28,5,15,extrapolated,strongly_extrapolated,150.6,too_few_iterations,False,True,20260913|D3_N600_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,3,600,1200,757,B,30.0,0,60,0.0,0.0,0.0,0.0602,False,152.8,116.48,107.28,5,15,extrapolated,strongly_extrapolated,150.6,too_few_iterations,False,True,20260913|D3_N600_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,3,600,1200,757,C,60.0,0,60,0.0,0.0,0.0,0.0602,False,152.8,116.48,107.28,5,15,extrapolated,strongly_extrapolated,150.6,too_few_iterations,False,True,20260913|D3_N600_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,4,120,240,151,A,1.0,5,60,0.08333333333333333,0.03568120160740314,0.0361,0.1807,False,30.5,23.5,21.54,1,4,observed,extrapolated,40.2,too_few_iterations,False,True,20260913|D4_N120_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,4,120,240,151,B,6.0,0,60,0.0,0.0,0.0,0.0602,False,30.5,23.5,21.54,1,4,observed,extrapolated,40.2,too_few_iterations,False,True,20260913|D4_N120_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,4,120,240,151,C,12.0,0,60,0.0,0.0,0.0,0.0602,False,30.5,23.5,21.54,1,4,observed,extrapolated,40.2,too_few_iterations,False,True,20260913|D4_N120_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,4,240,480,303,A,1.0,18,60,0.3,0.05916079783099616,0.199,0.4251,False,61.8,47.6,43.79,2,8,extrapolated,extrapolated,80.3,too_few_iterations,False,True,20260913|D4_N240_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,4,240,480,303,B,12.0,0,60,0.0,0.0,0.0,0.0602,False,61.8,47.6,43.79,2,8,extrapolated,extrapolated,80.3,too_few_iterations,False,True,20260913|D4_N240_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,4,240,480,303,C,24.0,0,60,0.0,0.0,0.0,0.0602,False,61.8,47.6,43.79,2,8,extrapolated,extrapolated,80.3,too_few_iterations,False,True,20260913|D4_N240_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,4,360,720,454,A,1.0,21,60,0.35,0.06157651067303722,0.2417,0.4764,False,92.2,70.15,64.99,3,12,extrapolated,strongly_extrapolated,120.5,too_few_iterations,False,True,20260913|D4_N360_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,4,360,720,454,B,18.0,0,60,0.0,0.0,0.0,0.0602,False,92.2,70.15,64.99,3,12,extrapolated,strongly_extrapolated,120.5,too_few_iterations,False,True,20260913|D4_N360_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,4,360,720,454,C,36.0,0,60,0.0,0.0,0.0,0.0602,False,92.2,70.15,64.99,3,12,extrapolated,strongly_extrapolated,120.5,too_few_iterations,False,True,20260913|D4_N360_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,4,480,960,605,A,1.0,28,60,0.4666666666666667,0.06440611887195306,0.3463,0.5911,False,122.0,93.19,86.31,4,16,extrapolated,strongly_extrapolated,160.6,too_few_iterations,False,True,20260913|D4_N480_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,4,480,960,605,B,24.0,0,60,0.0,0.0,0.0,0.0602,False,122.0,93.19,86.31,4,16,extrapolated,strongly_extrapolated,160.6,too_few_iterations,False,True,20260913|D4_N480_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,4,480,960,605,C,48.0,0,60,0.0,0.0,0.0,0.0602,False,122.0,93.19,86.31,4,16,extrapolated,strongly_extrapolated,160.6,too_few_iterations,False,True,20260913|D4_N480_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,4,600,1200,757,A,1.0,25,60,0.4166666666666667,0.06364688465216445,0.3006,0.5427,False,153.0,116.88,108.74,5,20,extrapolated,strongly_extrapolated,200.8,too_few_iterations,False,True,20260913|D4_N600_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,4,600,1200,757,B,30.0,0,60,0.0,0.0,0.0,0.0602,False,153.0,116.88,108.74,5,20,extrapolated,strongly_extrapolated,200.8,too_few_iterations,False,True,20260913|D4_N600_p0.135_clustered_small_gap
0.135,clustered,small_gap,0.75,0.7,4,600,1200,757,C,60.0,0,60,0.0,0.0,0.0,0.0602,False,153.0,116.88,108.74,5,20,extrapolated,strongly_extrapolated,200.8,too_few_iterations,False,True,20260913|D4_N600_p0.135_clustered_small_gap
0.135,clustered,large_gap,0.85,0.7,1,120,240,151,A,1.0,14,60,0.23333333333333334,0.054602943890247176,0.1444,0.3544,False,30.8,27.23,22.05,1,1,observed,observed,10.0,too_few_iterations,False,True,20260913|D1_N120_p0.135_clustered_large_gap
0.135,clustered,large_gap,0.85,0.7,1,120,240,151,B,6.0,0,60,0.0,0.0,0.0,0.0602,False,30.8,27.23,22.05,1,1,observed,observed,10.0,too_few_iterations,False,True,20260913|D1_N120_p0.135_clustered_large_gap
0.135,clustered,large_gap,0.85,0.7,1,120,240,151,C,12.0,0,60,0.0,0.0,0.0,0.0602,False,30.8,27.23,22.05,1,1,observed,observed,10.0,too_few_iterations,False,True,20260913|D1_N120_p0.135_clustered_large_gap
0.135,clustered,large_gap,0.85,0.7,1,240,480,303,A,1.0,44,60,0.7333333333333333,0.057089922571845024,0.6099,0.8287,False,61.8,55.53,43.63,2,2,extrapolated,extrapolated,20.1,too_few_iterations,False,True,20260913|D1_N240_p0.135_clustered_large_gap
0.135,clustered,large_gap,0.85,0.7,1,240,480,303,B,12.0,1,60,0.016666666666666666,0.01652719420071502,0.0029,0.0886,False,61.8,55.53,43.63,2,2,extrapolated,extrapolated,20.1,too_few_iterations,False,True,20260913|D1_N240_p0.135_clustered_large_gap
0.135,clustered,large_gap,0.85,0.7,1,240,480,303,C,24.0,0,60,0.0,0.0,0.0,0.0602,False,61.8,55.53,43.63,2,2,extrapolated,extrapolated,20.1,too_few_iterations,False,True,20260913|D1_N240_p0.135_clustered_large_gap
0.135,clustered,large_gap,0.85,0.7,1,360,720,454,A,1.0,57,60,0.95,0.0281365716935569,0.863,0.9829,False,90.6,81.28,64.6,3,3,extrapolated,extrapolated,30.1,too_few_iterations,False,True,20260913|D1_N360_p0.135_clustered_large_gap
0.135,clustered,large_gap,0.85,0.7,1,360,720,454,B,18.0,0,60,0.0,0.0,0.0,0.0602,False,90.6,81.28,64.6,3,3,extrapolated,extrapolated,30.1,too_few_iterations,False,True,20260913|D1_N360_p0.135_clustered_large_gap
0.135,clustered,large_gap,0.85,0.7,1,360,720,454,C,36.0,0,60,0.0,0.0,0.0,0.0602,False,90.6,81.28,64.6,3,3,extrapolated,extrapolated,30.1,too_few_iterations,False,True,20260913|D1_N360_p0.135_clustered_large_gap
0.135,clustered,large_gap,0.85,0.7,1,480,960,605,A,1.0,59,60,0.9833333333333333,0.016527194200715044,0.9114,0.9971,False,124.6,111.72,87.42,4,4,extrapolated,extrapolated,40.2,too_few_iterations,False,True,20260913|D1_N480_p0.135_clustered_large_gap
0.135,clustered,large_gap,0.85,0.7,1,480,960,605,B,24.0,1,60,0.016666666666666666,0.01652719420071502,0.0029,0.0886,False,124.6,111.72,87.42,4,4,extrapolated,extrapolated,40.2,too_few_iterations,False,True,20260913|D1_N480_p0.135_clustered_large_gap
0.135,clustered,large_gap,0.85,0.7,1,480,960,605,C,48.0,0,60,0.0,0.0,0.0,0.0602,False,124.6,111.72,87.42,4,4,extrapolated,extrapolated,40.2,too_few_iterations,False,True,20260913|D1_N480_p0.135_clustered_large_gap
0.135,clustered,large_gap,0.85,0.7,1,600,1200,757,A,1.0,60,60,1.0,0.0,0.9398,1.0,False,153.3,136.38,108.27,5,5,extrapolated,extrapolated,50.2,too_few_iterations,False,True,20260913|D1_N600_p0.135_clustered_large_gap
0.135,clustered,large_gap,0.85,0.7,1,600,1200,757,B,30.0,1,60,0.016666666666666666,0.01652719420071502,0.0029,0.0886,False,153.3,136.38,108.27,5,5,extrapolated,extrapolated,50.2,too_few_iterations,False,True,20260913|D1_N600_p0.135_clustered_large_gap
0.135,clustered,large_gap,0.85,0.7,1,600,1200,757,C,60.0,0,60,0.0,0.0,0.0,0.0602,False,153.3,136.38,108.27,5,5,extrapolated,extrapolated,50.2,too_few_iterations,False,True,20260913|D1_N600_p0.135_clustered_large_gap
0.135,clustered,large_gap,0.85,0.7,2,120,240,151,A,1.0,29,60,0.48333333333333334,0.06451385151296608,0.3618,0.6069,False,30.6,27.51,21.82,1,2,observed,extrapolated,20.1,too_few_iterations,False,True,20260913|D2_N120_p0.135_clustered_large_gap
0.135,clustered,large_gap,0.85,0.7,2,120,240,151,B,6.0,0,60,0.0,0.0,0.0,0.0602,False,30.6,27.51,21.82,1,2,observed,extrapolated,20.1,too_few_iterations,False,True,20260913|D2_N120_p0.135_clustered_large_gap
0.135,clustered,large_gap,0.85,0.7,2,120,240,151,C,12.0,0,60,0.0,0.0,0.0,0.0602,False,30.6,27.51,21.82,1,2,observed,extrapolated,20.1,too_few_iterations,False,True,20260913|D2_N120_p0.135_clustered_large_gap
0.135,clustered,large_gap,0.85,0.7,2,240,480,303,A,1.0,58,60,0.9666666666666667,0.023174059571793564,0.8864,0.9908,False,61.4,54.76,43.54,2,4,extrapolated,extrapolated,40.2,too_few_iterations,False,True,20260913|D2_N240_p0.135_clustered_large_gap
0.135,clustered,large_gap,0.85,0.7,2,240,480,303,B,12.0,0,60,0.0,0.0,0.0,0.0602,False,61.4,54.76,43.54,2,4,extrapolated,extrapolated,40.2,too_few_iterations,False,True,20260913|D2_N240_p0.135_clustered_large_gap
0.135,clustered,large_gap,0.85,0.7,2,240,480,303,C,24.0,0,60,0.0,0.0,0.0,0.0602,False,61.4,54.76,43.54,2,4,extrapolated,extrapolated,40.2,too_few_iterations,False,True,20260913|D2_N240_p0.135_clustered_large_gap
0.135,clustered,large_gap,0.85,0.7,2,360,720,454,A,1.0,60,60,1.0,0.0,0.9398,1.0,False,91.8,82.23,64.99,3,6,extrapolated,extrapolated,60.2,too_few_iterations,False,True,20260913|D2_N360_p0.135_clustered_large_gap
0.135,clustered,large_gap,0.85,0.7,2,360,720,454,B,18.0,0,60,0.0,0.0,0.0,0.0602,False,91.8,82.23,64.99,3,6,extrapolated,extrapolated,60.2,too_few_iterations,False,True,20260913|D2_N360_p0.135_clustered_large_gap
0.135,clustered,large_gap,0.85,0.7,2,360,720,454,C,36.0,0,60,0.0,0.0,0.0,0.0602,False,91.8,82.23,64.99,3,6,extrapolated,extrapolated,60.2,too_few_iterations,False,True,20260913|D2_N360_p0.135_clustered_large_gap
