condition,type,magnitude,map50,map50_Car,map50_Van,map50_Pedestrian,map50_Cyclist
clean,none,0,0.8371,0.9489,0.9202,0.6466,0.8329
scale_m30,scale,-30,0.79,0.9181,0.8567,0.5909,0.7941
