condition,type,magnitude,map50,map50_Car,map50_Van,map50_Pedestrian,map50_Cyclist
clean,none,0,0.6851,0.9037,0.7179,0.538,0.581
scale_m30,scale,-30,0.6252,0.8797,0.6325,0.4866,0.5019
