condition,type,magnitude,map50,map50_Car,map50_Van,map50_Pedestrian,map50_Cyclist
clean,none,0,0.7779,0.9245,0.8151,0.5976,0.7744
scale_m30,scale,-30,0.7207,0.8838,0.7638,0.5364,0.6986
