condition,map50,map50_Car,map50_Van,map50_Pedestrian,map50_Cyclist
clean,0.7779,0.9245,0.8151,0.5976,0.7744
clean_sub800,0.5791,0.8636,0.603,0.3333,0.5166
scale_m30,0.7207,0.8838,0.7638,0.5364,0.6986
scale_m30_refined50,0.5404,0.8241,0.5367,0.2759,0.5248
