condition,type,magnitude,map50,map50_95,precision,recall
clean,none,0,0.948,0.743,0.918,0.874
clean_sub1600,refined,0,0.895,0.656,0.903,0.799
scale_m30,scale,-30,0.922,0.684,0.907,0.853
scale_m30_refined50,refined,50,0.87,0.619,0.894,0.774
