condition,map50,map50_Car,map50_Van,map50_Pedestrian,map50_Cyclist
clean,0.8371,0.9489,0.9202,0.6466,0.8329
clean_sub1600,0.6312,0.8967,0.6886,0.3477,0.5918
scale_m30,0.79,0.9181,0.8567,0.5909,0.7941
scale_m30_refined50,0.6213,0.8673,0.6482,0.3636,0.6059
