condition,map50,map50_Car,map50_Van,map50_Pedestrian,map50_Cyclist
clean,0.578,0.8767,0.5817,0.4079,0.4457
clean_sub200,0.402,0.7958,0.359,0.2444,0.2086
scale_m30,0.5125,0.8409,0.4973,0.3486,0.3633
scale_m30_refined50,0.3914,0.793,0.3228,0.1893,0.2605
